m,p,lambda,fam,T,Z,ratio,mu,dictatorship,maximal
3,0.25,0.333333333333,5,-0,1.33333333333,0.75,0.5625,0,"[(2,)]"
3,0.25,0.333333333333,21,-0,1.66666666667,0.9375,0.703125,0,"[(2,), (3,)]"
3,0.25,0.333333333333,85,-0,1.77777777778,1,0.75,1,"[(2, 3)]"
3,0.25,0.333333333333,3,-0,1.33333333333,0.75,0.5625,0,"[(1,)]"
3,0.25,0.333333333333,19,-0,1.66666666667,0.9375,0.703125,0,"[(1,), (3,)]"
3,0.25,0.333333333333,51,-0,1.77777777778,1,0.75,1,"[(1, 3)]"
3,0.25,0.333333333333,7,-0,1.66666666667,0.9375,0.703125,0,"[(1,), (2,)]"
3,0.25,0.333333333333,15,-0,1.77777777778,1,0.75,1,"[(1, 2)]"
3,0.285714285714,0.4,0,0,0,0,0,0,"[]"
3,0.285714285714,0.4,1,-0,1,0.510204081633,0.36443148688,0,"[()]"
3,0.285714285714,0.4,17,-0,1.4,0.714285714286,0.510204081633,0,"[(3,)]"
3,0.285714285714,0.4,5,-0,1.4,0.714285714286,0.510204081633,0,"[(2,)]"
3,0.285714285714,0.4,21,-0,1.8,0.918367346939,0.655976676385,0,"[(2,), (3,)]"
3,0.285714285714,0.4,85,-0,1.96,1,0.714285714286,1,"[(2, 3)]"
3,0.285714285714,0.4,3,-0,1.4,0.714285714286,0.510204081633,0,"[(1,)]"
3,0.285714285714,0.4,19,-0,1.8,0.918367346939,0.655976676385,0,"[(1,), (3,)]"
3,0.285714285714,0.4,51,-0,1.96,1,0.714285714286,1,"[(1, 3)]"
3,0.285714285714,0.4,7,-0,1.8,0.918367346939,0.655976676385,0,"[(1,), (2,)]"
3,0.285714285714,0.4,15,-0,1.96,1,0.714285714286,1,"[(1, 2)]"
3,0.3,0.428571428571,0,0,0,0,0,0,"[]"
3,0.3,0.428571428571,1,-0,1,0.49,0.343,0,"[()]"
3,0.3,0.428571428571,17,-0,1.42857142857,0.7,0.49,0,"[(3,)]"
3,0.3,0.428571428571,5,-0,1.42857142857,0.7,0.49,0,"[(2,)]"
3,0.3,0.428571428571,21,-0,1.85714285714,0.91,0.637,0,"[(2,), (3,)]"
3,0.3,0.428571428571,85,-0,2.04081632653,1,0.7,1,"[(2, 3)]"
3,0.3,0.428571428571,3,-0,1.42857142857,0.7,0.49,0,"[(1,)]"
3,0.3,0.428571428571,19,-0,1.85714285714,0.91,0.637,0,"[(1,), (3,)]"
3,0.3,0.428571428571,51,-0,2.04081632653,1,0.7,1,"[(1, 3)]"
3,0.3,0.428571428571,7,-0,1.85714285714,0.91,0.637,0,"[(1,), (2,)]"
3,0.3,0.428571428571,15,-0,2.04081632653,1,0.7,1,"[(1, 2)]"
3,0.333333333333,0.5,0,0,0,0,0,0,"[]"
3,0.333333333333,0.5,1,-0,1,0.444444444444,0.296296296296,0,"[()]"
3,0.333333333333,0.5,17,-0,1.5,0.666666666667,0.444444444444,0,"[(3,)]"
3,0.333333333333,0.5,5,-0,1.5,0.666666666667,0.444444444444,0,"[(2,)]"
3,0.333333333333,0.5,21,-0,2,0.888888888889,0.592592592593,0,"[(2,), (3,)]"
3,0.333333333333,0.5,85,-0,2.25,1,0.666666666667,1,"[(2, 3)]"
3,0.333333333333,0.5,3,-0,1.5,0.666666666667,0.444444444444,0,"[(1,)]"
3,0.333333333333,0.5,19,-0,2,0.888888888889,0.592592592593,0,"[(1,), (3,)]"
3,0.333333333333,0.5,51,-0,2.25,1,0.666666666667,1,"[(1, 3)]"
3,0.333333333333,0.5,7,-0,2,0.888888888889,0.592592592593,0,"[(1,), (2,)]"
3,0.333333333333,0.5,15,-0,2.25,1,0.666666666667,1,"[(1, 2)]"
4,0.25,0.333333333333,0,0,0,0,0,0,"[]"
4,0.25,0.333333333333,1,-0,1,0.421875,0.31640625,0,"[()]"
4,0.25,0.333333333333,257,-0,1.33333333333,0.5625,0.421875,0,"[(4,)]"
4,0.25,0.333333333333,17,-0,1.33333333333,0.5625,0.421875,0,"[(3,)]"
4,0.25,0.333333333333,273,-0,1.66666666667,0.703125,0.52734375,0,"[(3,), (4,)]"
4,0.25,0.333333333333,4369,-0,1.77777777778,0.75,0.5625,0,"[(3, 4)]"
4,0.25,0.333333333333,5,-0,1.33333333333,0.5625,0.421875,0,"[(2,)]"
4,0.25,0.333333333333,261,-0,1.66666666667,0.703125,0.52734375,0,"[(2,), (4,)]"
4,0.25,0.333333333333,1285,-0,1.77777777778,0.75,0.5625,0,"[(2, 4)]"
4,0.25,0.333333333333,21,-0,1.66666666667,0.703125,0.52734375,0,"[(2,), (3,)]"
4,0.25,0.333333333333,277,-0,2,0.84375,0.6328125,0,"[(2,), (3,), (4,)]"
4,0.25,0.333333333333,4373,-0,2.11111111111,0.890625,0.66796875,0,"[(2,), (3, 4)]"
4,0.25,0.333333333333,1301,-0,2.11111111111,0.890625,0.66796875,0,"[(3,), (2, 4)]"
4,0.25,0.333333333333,5397,-0,2.22222222222,0.9375,0.703125,0,"[(2, 4), (3, 4)]"
4,0.25,0.333333333333,85,-0,1.77777777778,0.75,0.5625,0,"[(2, 3)]"
4,0.25,0.333333333333,341,-0,2.11111111111,0.890625,0.66796875,0,"[(2, 3), (4,)]"
4,0.25,0.333333333333,4437,-0,2.22222222222,0.9375,0.703125,0,"[(2, 3), (3, 4)]"
4,0.25,0.333333333333,1365,-0,2.22222222222,0.9375,0.703125,0,"[(2, 3), (2, 4)]"
4,0.25,0.333333333333,5461,-0,2.33333333333,0.984375,0.73828125,0,"[(2, 3), (2, 4), (3, 4)]"
4,0.25,0.333333333333,21845,-0,2.37037037037,1,0.75,1,"[(2, 3, 4)]"
4,0.25,0.333333333333,3,-0,1.33333333333,0.5625,0.421875,0,"[(1,)]"
4,0.25,0.333333333333,259,-0,1.66666666667,0.703125,0.52734375,0,"[(1,), (4,)]"
4,0.25,0.333333333333,771,-0,1.77777777778,0.75,0.5625,0,"[(1, 4)]"
4,0.25,0.333333333333,19,-0,1.66666666667,0.703125,0.52734375,0,"[(1,), (3,)]"
4,0.25,0.333333333333,275,-0,2,0.84375,0.6328125,0,"[(1,), (3,), (4,)]"
4,0.25,0.333333333333,4371,-0,2.11111111111,0.890625,0.66796875,0,"[(1,), (3, 4)]"
4,0.25,0.333333333333,787,-0,2.11111111111,0.890625,0.66796875,0,"[(3,), (1, 4)]"
4,0.25,0.333333333333,4883,-0,2.22222222222,0.9375,0.703125,0,"[(1, 4), (3, 4)]"
4,0.25,0.333333333333,51,-0,1.77777777778,0.75,0.5625,0,"[(1, 3)]"
4,0.25,0.333333333333,307,-0,2.11111111111,0.890625,0.66796875,0,"[(1, 3), (4,)]"
4,0.25,0.333333333333,4403,-0,2.22222222222,0.9375,0.703125,0,"[(1, 3), (3, 4)]"
4,0.25,0.333333333333,819,-0,2.22222222222,0.9375,0.703125,0,"[(1, 3), (1, 4)]"
4,0.25,0.333333333333,4915,-0,2.33333333333,0.984375,0.73828125,0,"[(1, 3), (1, 4), (3, 4)]"
4,0.25,0.333333333333,13107,-0,2.37037037037,1,0.75,1,"[(1, 3, 4)]"
4,0.25,0.333333333333,7,-0,1.66666666667,0.703125,0.52734375,0,"[(1,), (2,)]"
4,0.25,0.333333333333,263,-0,2,0.84375,0.6328125,0,"[(1,), (2,), (4,)]"
4,0.25,0.333333333333,1287,-0,2.11111111111,0.890625,0.66796875,0,"[(1,), (2, 4)]"
4,0.25,0.333333333333,775,-0,2.11111111111,0.890625,0.66796875,0,"[(2,), (1, 4)]"
4,0.25,0.333333333333,1799,-0,2.22222222222,0.9375,0.703125,0,"[(1, 4), (2, 4)]"
4,0.25,0.333333333333,23,-0,2,0.84375,0.6328125,0,"[(1,), (2,), (3,)]"
4,0.25,0.333333333333,87,-0,2.11111111111,0.890625,0.66796875,0,"[(1,), (2, 3)]"
4,0.25,0.333333333333,55,-0,2.11111111111,0.890625,0.66796875,0,"[(2,), (1, 3)]"
4,0.25,0.333333333333,119,-0,2.22222222222,0.9375,0.703125,0,"[(1, 3), (2, 3)]"
4,0.25,0.333333333333,15,-0,1.77777777778,0.75,0.5625,0,"[(1, 2)]"
4,0.25,0.333333333333,271,-0,2.11111111111,0.890625,0.66796875,0,"[(1, 2), (4,)]"
4,0.25,0.333333333333,1295,-0,2.22222222222,0.9375,0.703125,0,"[(1, 2), (2, 4)]"
4,0.25,0.333333333333,783,-0,2.22222222222,0.9375,0.703125,0,"[(1, 2), (1, 4)]"
4,0.25,0.333333333333,1807,-0,2.33333333333,0.984375,0.73828125,0,"[(1, 2), (1, 4), (2, 4)]"
4,0.25,0.333333333333,3855,-0,2.37037037037,1,0.75,1,"[(1, 2, 4)]"
4,0.25,0.333333333333,31,-0,2.11111111111,0.890625,0.66796875,0,"[(1, 2), (3,)]"
4,0.25,0.333333333333,95,-0,2.22222222222,0.9375,0.703125,0,"[(1, 2), (2, 3)]"
4,0.25,0.333333333333,63,-0,2.22222222222,0.9375,0.703125,0,"[(1, 2), (1, 3)]"
4,0.25,0.333333333333,127,-0,2.33333333333,0.984375,0.73828125,0,"[(1, 2), (1, 3), (2, 3)]"
4,0.25,0.333333333333,255,-0,2.37037037037,1,0.75,1,"[(1, 2, 3)]"
4,0.285714285714,0.4,0,0,0,0,0,0,"[]"
4,0.285714285714,0.4,1,-0,1,0.36443148688,0.260308204915,0,"[()]"
4,0.285714285714,0.4,257,-0,1.4,0.510204081633,0.36443148688,0,"[(4,)]"
4,0.285714285714,0.4,17,-0,1.4,0.510204081633,0.36443148688,0,"[(3,)]"
4,0.285714285714,0.4,273,-0,1.8,0.655976676385,0.468554768846,0,"[(3,), (4,)]"
4,0.285714285714,0.4,4369,-0,1.96,0.714285714286,0.510204081633,0,"[(3, 4)]"
4,0.285714285714,0.4,5,-0,1.4,0.510204081633,0.36443148688,0,"[(2,)]"
4,0.285714285714,0.4,261,-0,1.8,0.655976676385,0.468554768846,0,"[(2,), (4,)]"
4,0.285714285714,0.4,1285,-0,1.96,0.714285714286,0.510204081633,0,"[(2, 4)]"
4,0.285714285714,0.4,21,-0,1.8,0.655976676385,0.468554768846,0,"[(2,), (3,)]"
4,0.285714285714,0.4,277,-0,2.2,0.801749271137,0.572678050812,0,"[(2,), (3,), (4,)]"
4,0.285714285714,0.4,4373,-0,2.36,0.860058309038,0.614327363599,0,"[(2,), (3, 4)]"
4,0.285714285714,0.4,1301,-0,2.36,0.860058309038,0.614327363599,0,"[(3,), (2, 4)]"
4,0.285714285714,0.4,5397,-0,2.52,0.918367346939,0.655976676385,0,"[(2, 4), (3, 4)]"
4,0.285714285714,0.4,85,-0,1.96,0.714285714286,0.510204081633,0,"[(2, 3)]"
4,0.285714285714,0.4,341,-0,2.36,0.860058309038,0.614327363599,0,"[(2, 3), (4,)]"
4,0.285714285714,0.4,4437,-0,2.52,0.918367346939,0.655976676385,0,"[(2, 3), (3, 4)]"
4,0.285714285714,0.4,1365,-0,2.52,0.918367346939,0.655976676385,0,"[(2, 3), (2, 4)]"
4,0.285714285714,0.4,5461,-0,2.68,0.97667638484,0.697625989171,0,"[(2, 3), (2, 4), (3, 4)]"
4,0.285714285714,0.4,21845,-0,2.744,1,0.714285714286,1,"[(2, 3, 4)]"
4,0.285714285714,0.4,3,-0,1.4,0.510204081633,0.36443148688,0,"[(1,)]"
4,0.285714285714,0.4,259,-0,1.8,0.655976676385,0.468554768846,0,"[(1,), (4,)]"
4,0.285714285714,0.4,771,-0,1.96,0.714285714286,0.510204081633,0,"[(1, 4)]"
4,0.285714285714,0.4,19,-0,1.8,0.655976676385,0.468554768846,0,"[(1,), (3,)]"
4,0.285714285714,0.4,275,-0,2.2,0.801749271137,0.572678050812,0,"[(1,), (3,), (4,)]"
4,0.285714285714,0.4,4371,-0,2.36,0.860058309038,0.614327363599,0,"[(1,), (3, 4)]"
4,0.285714285714,0.4,787,-0,2.36,0.860058309038,0.614327363599,0,"[(3,), (1, 4)]"
4,0.285714285714,0.4,4883,-0,2.52,0.918367346939,0.655976676385,0,"[(1, 4), (3, 4)]"
4,0.285714285714,0.4,51,-0,1.96,0.714285714286,0.510204081633,0,"[(1, 3)]"
4,0.285714285714,0.4,307,-0,2.36,0.860058309038,0.614327363599,0,"[(1, 3), (4,)]"
4,0.285714285714,0.4,4403,-0,2.52,0.918367346939,0.655976676385,0,"[(1, 3), (3, 4)]"
4,0.285714285714,0.4,819,-0,2.52,0.918367346939,0.655976676385,0,"[(1, 3), (1, 4)]"
4,0.285714285714,0.4,4915,-0,2.68,0.97667638484,0.697625989171,0,"[(1, 3), (1, 4), (3, 4)]"
4,0.285714285714,0.4,13107,-0,2.744,1,0.714285714286,1,"[(1, 3, 4)]"
4,0.285714285714,0.4,7,-0,1.8,0.655976676385,0.468554768846,0,"[(1,), (2,)]"
4,0.285714285714,0.4,263,-0,2.2,0.801749271137,0.572678050812,0,"[(1,), (2,), (4,)]"
4,0.285714285714,0.4,1287,-0,2.36,0.860058309038,0.614327363599,0,"[(1,), (2, 4)]"
4,0.285714285714,0.4,775,-0,2.36,0.860058309038,0.614327363599,0,"[(2,), (1, 4)]"
4,0.285714285714,0.4,1799,-0,2.52,0.918367346939,0.655976676385,0,"[(1, 4), (2, 4)]"
4,0.285714285714,0.4,23,-0,2.2,0.801749271137,0.572678050812,0,"[(1,), (2,), (3,)]"
4,0.285714285714,0.4,279,0.25,2.6,0.947521865889,0.676801332778,0,"[(1,), (2,), (3,), (4,)]"
4,0.285714285714,0.4,87,-0,2.36,0.860058309038,0.614327363599,0,"[(1,), (2, 3)]"
4,0.285714285714,0.4,55,-0,2.36,0.860058309038,0.614327363599,0,"[(2,), (1, 3)]"
4,0.285714285714,0.4,119,-0,2.52,0.918367346939,0.655976676385,0,"[(1, 3), (2, 3)]"
4,0.285714285714,0.4,15,-0,1.96,0.714285714286,0.510204081633,0,"[(1, 2)]"
4,0.285714285714,0.4,271,-0,2.36,0.860058309038,0.614327363599,0,"[(1, 2), (4,)]"
4,0.285714285714,0.4,1295,-0,2.52,0.918367346939,0.655976676385,0,"[(1, 2), (2, 4)]"
4,0.285714285714,0.4,783,-0,2.52,0.918367346939,0.655976676385,0,"[(1, 2), (1, 4)]"
4,0.285714285714,0.4,1807,-0,2.68,0.97667638484,0.697625989171,0,"[(1, 2), (1, 4), (2, 4)]"
4,0.285714285714,0.4,3855,-0,2.744,1,0.714285714286,1,"[(1, 2, 4)]"
4,0.285714285714,0.4,31,-0,2.36,0.860058309038,0.614327363599,0,"[(1, 2), (3,)]"
4,0.285714285714,0.4,95,-0,2.52,0.918367346939,0.655976676385,0,"[(1, 2), (2, 3)]"
4,0.285714285714,0.4,63,-0,2.52,0.918367346939,0.655976676385,0,"[(1, 2), (1, 3)]"
4,0.285714285714,0.4,127,-0,2.68,0.97667638484,0.697625989171,0,"[(1, 2), (1, 3), (2, 3)]"
4,0.285714285714,0.4,255,-0,2.744,1,0.714285714286,1,"[(1, 2, 3)]"
4,0.3,0.428571428571,0,0,0,0,0,0,"[]"
4,0.3,0.428571428571,1,-0,1,0.343,0.2401,0,"[()]"
4,0.3,0.428571428571,257,-0,1.42857142857,0.49,0.343,0,"[(4,)]"
4,0.3,0.428571428571,17,-0,1.42857142857,0.49,0.343,0,"[(3,)]"
4,0.3,0.428571428571,273,-0,1.85714285714,0.637,0.4459,0,"[(3,), (4,)]"
4,0.3,0.428571428571,4369,-0,2.04081632653,0.7,0.49,0,"[(3, 4)]"
4,0.3,0.428571428571,5,-0,1.42857142857,0.49,0.343,0,"[(2,)]"
4,0.3,0.428571428571,261,-0,1.85714285714,0.637,0.4459,0,"[(2,), (4,)]"
4,0.3,0.428571428571,1285,-0,2.04081632653,0.7,0.49,0,"[(2, 4)]"
4,0.3,0.428571428571,21,-0,1.85714285714,0.637,0.4459,0,"[(2,), (3,)]"
4,0.3,0.428571428571,277,-0,2.28571428571,0.784,0.5488,0,"[(2,), (3,), (4,)]"
4,0.3,0.428571428571,4373,-0,2.4693877551,0.847,0.5929,0,"[(2,), (3, 4)]"
4,0.3,0.428571428571,1301,-0,2.4693877551,0.847,0.5929,0,"[(3,), (2, 4)]"
4,0.3,0.428571428571,5397,-0,2.65306122449,0.91,0.637,0,"[(2, 4), (3, 4)]"
4,0.3,0.428571428571,85,-0,2.04081632653,0.7,0.49,0,"[(2, 3)]"
4,0.3,0.428571428571,341,-0,2.4693877551,0.847,0.5929,0,"[(2, 3), (4,)]"
4,0.3,0.428571428571,4437,-0,2.65306122449,0.91,0.637,0,"[(2, 3), (3, 4)]"
4,0.3,0.428571428571,1365,-0,2.65306122449,0.91,0.637,0,"[(2, 3), (2, 4)]"
4,0.3,0.428571428571,5461,-0,2.83673469388,0.973,0.6811,0,"[(2, 3), (2, 4), (3, 4)]"
4,0.3,0.428571428571,21845,-0,2.91545189504,1,0.7,1,"[(2, 3, 4)]"
4,0.3,0.428571428571,3,-0,1.42857142857,0.49,0.343,0,"[(1,)]"
4,0.3,0.428571428571,259,-0,1.85714285714,0.637,0.4459,0,"[(1,), (4,)]"
4,0.3,0.428571428571,771,-0,2.04081632653,0.7,0.49,0,"[(1, 4)]"
4,0.3,0.428571428571,19,-0,1.85714285714,0.637,0.4459,0,"[(1,), (3,)]"
4,0.3,0.428571428571,275,-0,2.28571428571,0.784,0.5488,0,"[(1,), (3,), (4,)]"
4,0.3,0.428571428571,4371,-0,2.4693877551,0.847,0.5929,0,"[(1,), (3, 4)]"
4,0.3,0.428571428571,787,-0,2.4693877551,0.847,0.5929,0,"[(3,), (1, 4)]"
4,0.3,0.428571428571,4883,-0,2.65306122449,0.91,0.637,0,"[(1, 4), (3, 4)]"
4,0.3,0.428571428571,51,-0,2.04081632653,0.7,0.49,0,"[(1, 3)]"
4,0.3,0.428571428571,307,-0,2.4693877551,0.847,0.5929,0,"[(1, 3), (4,)]"
4,0.3,0.428571428571,4403,-0,2.65306122449,0.91,0.637,0,"[(1, 3), (3, 4)]"
4,0.3,0.428571428571,819,-0,2.65306122449,0.91,0.637,0,"[(1, 3), (1, 4)]"
4,0.3,0.428571428571,4915,-0,2.83673469388,0.973,0.6811,0,"[(1, 3), (1, 4), (3, 4)]"
4,0.3,0.428571428571,13107,-0,2.91545189504,1,0.7,1,"[(1, 3, 4)]"
4,0.3,0.428571428571,7,-0,1.85714285714,0.637,0.4459,0,"[(1,), (2,)]"
4,0.3,0.428571428571,263,-0,2.28571428571,0.784,0.5488,0,"[(1,), (2,), (4,)]"
4,0.3,0.428571428571,1287,-0,2.4693877551,0.847,0.5929,0,"[(1,), (2, 4)]"
4,0.3,0.428571428571,775,-0,2.4693877551,0.847,0.5929,0,"[(2,), (1, 4)]"
4,0.3,0.428571428571,1799,-0,2.65306122449,0.91,0.637,0,"[(1, 4), (2, 4)]"
4,0.3,0.428571428571,23,-0,2.28571428571,0.784,0.5488,0,"[(1,), (2,), (3,)]"
4,0.3,0.428571428571,279,0.25,2.71428571429,0.931,0.6517,0,"[(1,), (2,), (3,), (4,)]"
4,0.3,0.428571428571,87,-0,2.4693877551,0.847,0.5929,0,"[(1,), (2, 3)]"
4,0.3,0.428571428571,55,-0,2.4693877551,0.847,0.5929,0,"[(2,), (1, 3)]"
4,0.3,0.428571428571,119,-0,2.65306122449,0.91,0.637,0,"[(1, 3), (2, 3)]"
4,0.3,0.428571428571,15,-0,2.04081632653,0.7,0.49,0,"[(1, 2)]"
4,0.3,0.428571428571,271,-0,2.4693877551,0.847,0.5929,0,"[(1, 2), (4,)]"
4,0.3,0.428571428571,1295,-0,2.65306122449,0.91,0.637,0,"[(1, 2), (2, 4)]"
4,0.3,0.428571428571,783,-0,2.65306122449,0.91,0.637,0,"[(1, 2), (1, 4)]"
4,0.3,0.428571428571,1807,-0,2.83673469388,0.973,0.6811,0,"[(1, 2), (1, 4), (2, 4)]"
4,0.3,0.428571428571,3855,-0,2.91545189504,1,0.7,1,"[(1, 2, 4)]"
4,0.3,0.428571428571,31,-0,2.4693877551,0.847,0.5929,0,"[(1, 2), (3,)]"
4,0.3,0.428571428571,95,-0,2.65306122449,0.91,0.637,0,"[(1, 2), (2, 3)]"
4,0.3,0.428571428571,63,-0,2.65306122449,0.91,0.637,0,"[(1, 2), (1, 3)]"
4,0.3,0.428571428571,127,-0,2.83673469388,0.973,0.6811,0,"[(1, 2), (1, 3), (2, 3)]"
4,0.3,0.428571428571,255,-0,2.91545189504,1,0.7,1,"[(1, 2, 3)]"
4,0.333333333333,0.5,0,0,0,0,0,0,"[]"
4,0.333333333333,0.5,1,-0,1,0.296296296296,0.197530864198,0,"[()]"
4,0.333333333333,0.5,257,-0,1.5,0.444444444444,0.296296296296,0,"[(4,)]"
4,0.333333333333,0.5,17,-0,1.5,0.444444444444,0.296296296296,0,"[(3,)]"
4,0.333333333333,0.5,273,-0,2,0.592592592593,0.395061728395,0,"[(3,), (4,)]"
4,0.333333333333,0.5,4369,-0,2.25,0.666666666667,0.444444444444,0,"[(3, 4)]"
4,0.333333333333,0.5,5,-0,1.5,0.444444444444,0.296296296296,0,"[(2,)]"
4,0.333333333333,0.5,261,-0,2,0.592592592593,0.395061728395,0,"[(2,), (4,)]"
4,0.333333333333,0.5,1285,-0,2.25,0.666666666667,0.444444444444,0,"[(2, 4)]"
4,0.333333333333,0.5,21,-0,2,0.592592592593,0.395061728395,0,"[(2,), (3,)]"
4,0.333333333333,0.5,277,-0,2.5,0.740740740741,0.493827160494,0,"[(2,), (3,), (4,)]"
4,0.333333333333,0.5,4373,-0,2.75,0.814814814815,0.543209876543,0,"[(2,), (3, 4)]"
4,0.333333333333,0.5,1301,-0,2.75,0.814814814815,0.543209876543,0,"[(3,), (2, 4)]"
4,0.333333333333,0.5,5397,-0,3,0.888888888889,0.592592592593,0,"[(2, 4), (3, 4)]"
4,0.333333333333,0.5,85,-0,2.25,0.666666666667,0.444444444444,0,"[(2, 3)]"
4,0.333333333333,0.5,341,-0,2.75,0.814814814815,0.543209876543,0,"[(2, 3), (4,)]"
4,0.333333333333,0.5,4437,-0,3,0.888888888889,0.592592592593,0,"[(2, 3), (3, 4)]"
4,0.333333333333,0.5,1365,-0,3,0.888888888889,0.592592592593,0,"[(2, 3), (2, 4)]"
4,0.333333333333,0.5,5461,-0,3.25,0.962962962963,0.641975308642,0,"[(2, 3), (2, 4), (3, 4)]"
4,0.333333333333,0.5,21845,-0,3.375,1,0.666666666667,1,"[(2, 3, 4)]"
4,0.333333333333,0.5,3,-0,1.5,0.444444444444,0.296296296296,0,"[(1,)]"
4,0.333333333333,0.5,259,-0,2,0.592592592593,0.395061728395,0,"[(1,), (4,)]"
4,0.333333333333,0.5,771,-0,2.25,0.666666666667,0.444444444444,0,"[(1, 4)]"
4,0.333333333333,0.5,19,-0,2,0.592592592593,0.395061728395,0,"[(1,), (3,)]"
4,0.333333333333,0.5,275,-0,2.5,0.740740740741,0.493827160494,0,"[(1,), (3,), (4,)]"
4,0.333333333333,0.5,4371,-0,2.75,0.814814814815,0.543209876543,0,"[(1,), (3, 4)]"
4,0.333333333333,0.5,787,-0,2.75,0.814814814815,0.543209876543,0,"[(3,), (1, 4)]"
4,0.333333333333,0.5,4883,-0,3,0.888888888889,0.592592592593,0,"[(1, 4), (3, 4)]"
4,0.333333333333,0.5,51,-0,2.25,0.666666666667,0.444444444444,0,"[(1, 3)]"
4,0.333333333333,0.5,307,-0,2.75,0.814814814815,0.543209876543,0,"[(1, 3), (4,)]"
4,0.333333333333,0.5,4403,-0,3,0.888888888889,0.592592592593,0,"[(1, 3), (3, 4)]"
4,0.333333333333,0.5,819,-0,3,0.888888888889,0.592592592593,0,"[(1, 3), (1, 4)]"
4,0.333333333333,0.5,4915,-0,3.25,0.962962962963,0.641975308642,0,"[(1, 3), (1, 4), (3, 4)]"
4,0.333333333333,0.5,13107,-0,3.375,1,0.666666666667,1,"[(1, 3, 4)]"
4,0.333333333333,0.5,7,-0,2,0.592592592593,0.395061728395,0,"[(1,), (2,)]"
4,0.333333333333,0.5,263,-0,2.5,0.740740740741,0.493827160494,0,"[(1,), (2,), (4,)]"
4,0.333333333333,0.5,1287,-0,2.75,0.814814814815,0.543209876543,0,"[(1,), (2, 4)]"
4,0.333333333333,0.5,775,-0,2.75,0.814814814815,0.543209876543,0,"[(2,), (1, 4)]"
4,0.333333333333,0.5,1799,-0,3,0.888888888889,0.592592592593,0,"[(1, 4), (2, 4)]"
4,0.333333333333,0.5,23,-0,2.5,0.740740740741,0.493827160494,0,"[(1,), (2,), (3,)]"
4,0.333333333333,0.5,279,0.25,3,0.888888888889,0.592592592593,0,"[(1,), (2,), (3,), (4,)]"
4,0.333333333333,0.5,87,-0,2.75,0.814814814815,0.543209876543,0,"[(1,), (2, 3)]"
4,0.333333333333,0.5,55,-0,2.75,0.814814814815,0.543209876543,0,"[(2,), (1, 3)]"
4,0.333333333333,0.5,119,-0,3,0.888888888889,0.592592592593,0,"[(1, 3), (2, 3)]"
4,0.333333333333,0.5,15,-0,2.25,0.666666666667,0.444444444444,0,"[(1, 2)]"
4,0.333333333333,0.5,271,-0,2.75,0.814814814815,0.543209876543,0,"[(1, 2), (4,)]"
4,0.333333333333,0.5,1295,-0,3,0.888888888889,0.592592592593,0,"[(1, 2), (2, 4)]"
4,0.333333333333,0.5,783,-0,3,0.888888888889,0.592592592593,0,"[(1, 2), (1, 4)]"
4,0.333333333333,0.5,1807,-0,3.25,0.962962962963,0.641975308642,0,"[(1, 2), (1, 4), (2, 4)]"
4,0.333333333333,0.5,3855,-0,3.375,1,0.666666666667,1,"[(1, 2, 4)]"
4,0.333333333333,0.5,31,-0,2.75,0.814814814815,0.543209876543,0,"[(1, 2), (3,)]"
